review_url,coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price
https://www.coffeereview.com/review/twisted-3-0-espresso/,Twisted 3.0 Espresso,94,"Madison, Wisconsin",Not disclosed.,Medium,50/60,$15.75/12 ounces
https://www.coffeereview.com/review/ethiopia-amaro-gayo-dry-process/,Ethiopia Amaro Gayo Dry Process,94,"Bedford, New Hampshire","Amaro region, southern Ethiopia.",Medium-Light,60/81,$13.50/12 ounces
https://www.coffeereview.com/review/ethiopia-gedeo-yirgacheffe/,Ethiopia Gedeo Yirgacheffe,94,"Billings, Montana","Yirgacheffe growing region, south-central Ethiopia.",Light,63/85,$13.75/12 ounces
https://www.coffeereview.com/review/rwanda-karongi-gitesi-2/,Rwanda Karongi Gitesi,94,"Bedford, New Hampshire","Kirambo, Karongi District, Rwanda.",Medium-Light,53/71,$14.50/12 ounces
https://www.coffeereview.com/review/gelgelu-adame-ethiopia-yirgacheffe-organic-natural-process/,Gelgelu Adame Ethiopia Yirgacheffe Organic Natural Process,96,"Madison, Wisconsin","Yirgacheffe growing region, south-central Ethiopia.",Light,63/81,$19.25/12 ounces
https://www.coffeereview.com/review/ethiopia-fto-worka/,Ethiopia FTO Worka,95,"Tulsa, Oklahoma","Gedeo Zone, Yirgacheffe growing region, southern Ethiopia.",Light,66/88,$14.99/12 ounces
https://www.coffeereview.com/review/kenya-makwa-ab-2/,Kenya Makwa AB,96,"Los Angeles, California","Nyeri growing region, south-central Kenya.",Medium,54/67,$16.95/12 ounces
https://www.coffeereview.com/review/kenya-kabare-ab/,Kenya Kabare AB,95,"Bedford, New Hampshire","Nyeri growing region, south-central Kenya.",Light,64/84,$14.50/12 ounces
https://www.coffeereview.com/review/el-salvador-santa-elena-honey-pacamara/,El Salvador Santa Elena Honey Pacamara,94,"Sacramento, California","Chalatenango, El Salvador",Medium-Light,55/68,$19.00/12 ounces
https://www.coffeereview.com/review/kenya-makwa-ab/,Kenya Makwa AB,95,"Sacramento, California","Nyeri growing region, south-central Kenya.",Medium,51/59,$16.00/12 ounces
https://www.coffeereview.com/review/ethiopia-yirgacheffe-ecx-auction-lot/,Ethiopia Yirgacheffe ECX Auction Lot,94,"Sacramento, California","Yirgacheffe growing region, south-central Ethiopia.",Medium-Light,56/71,$17.00/12 ounces
https://www.coffeereview.com/review/ethiopia-ninety-plus-pheribo-n2/,Ethiopia Ninety Plus Pheribo N2,95,"Seoul, Korea","Yirgacheffe growing region, Gedeo Zone, southern Ethiopia.",Light,66/85,"KRW 15,000/100 grams"
https://www.coffeereview.com/review/ethiopia-washed-sidama-shilcho-coop-g1/,Ethiopia Washed Sidama Shilcho Coop G1,94,"Chia-Yi, Taiwan","Sidamo (also Sidama) growing region, southern Ethiopia.",Light,64/80,NT $650/16 ounces
https://www.coffeereview.com/review/ethiopia-washed-yirgacheffe-mini-me-2014/,Ethiopia Washed Yirgacheffe “Mini-Me” 2014,96,"Taoyuan City, Taiwan","Yirgacheffe growing region, southern Ethiopia.",Medium,50/65,NT $1000/16 ounces
https://www.coffeereview.com/review/panama-los-lajones-bambu-geisha/,Panama Los Lajones Bambu Geisha,96,"Sacramento, California","Boquete growing region, western Panama",Medium-Light,57/78,$60.00/8 ounces
https://www.coffeereview.com/review/kikai-kenya/,Kikai Kenya,95,"Lexington, Virginia","Bungoma region, western Kenya.",Medium,52/62,$14.50/12 ounces
https://www.coffeereview.com/review/panama-gesha-perci-red/,Panama Gesha Perci Red,96,"Lee, Massachusetts","Silla Del Pando, Volcan, Panama.",Light,66/88,$72.45/12 ounces
https://www.coffeereview.com/review/organic-ethiopian-yirgacheffe-idido/,Organic Ethiopian Yirgacheffe Idido,94,"Driftless, Wisconsin","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,59/74,$15.75/12 ounces
https://www.coffeereview.com/review/holiday-blend-5/,Holiday Blend,95,"Everett, Washington","Central Kenya; Toraja growing region, southwestern Sulawesi, Indonesia.",Medium-Light,56/78,$17.00/16 ounces
https://www.coffeereview.com/review/panama-finca-la-mula-geisha-natural/,Panama Finca La Mula Geisha Natural,94,"San Rafael, California","Boquete growing region, western Panama",Medium-Light,60/75,$49.95/8 ounces
https://www.coffeereview.com/review/kenya-gichuka-aa/,Kenya Gichuka AA,94,"Sacramento, California",Central Kenya.,Medium-Light,56/72,$17.00/12 ounces
https://www.coffeereview.com/review/ethiopia-washed-yirgacheffe-mini-me/,Ethiopia Washed Yirgacheffe Mini-Me,94,"Taoyuan City, Taiwan","Yirgacheffe growing region, southern Ethiopia.",Medium,50/62,NT $1000/16 ounces
https://www.coffeereview.com/review/ethiopia-kelenso-mokanisa/,Ethiopia Kelenso Mokanisa,94,"Bellingham, Washington","Sidamo (also Sidama) growing region, southern Ethiopia.",Medium-Light,59/73,$13.99/12 ounces
https://www.coffeereview.com/review/ganesha-espresso/,Ganesha Espresso,94,"Bellingham, Washington",Not disclosed.,Medium,49/59,$13.99/16 ounces
https://www.coffeereview.com/review/lennette-kenya/,Lennette Kenya,94,"La Jolla, California","Nyeri growing region, south-central Kenya.",Medium-Light,56/68,$17.99
https://www.coffeereview.com/review/ethiopia-ninety-plus-nekisse-red/,Ethiopia Ninety Plus Nekisse Red,95,"Yorktown Heights, New York","Sidamo (also Sidama) growing region, southern Ethiopia.",Medium,49/66,$65.00/12 ounces
https://www.coffeereview.com/review/ethiopia-yirgacheffe-kochere-aricha/,Ethiopia Yirgacheffe Kochere Aricha,94,"Oakland, California","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,53/79,$12.10/12 ounces
https://www.coffeereview.com/review/ethiopia-banko-natural/,Ethiopia Banko Natural,94,"Olympia, Washington","Gedeo Zone, Yirgacheffe growing region, southern Ethiopia.",Medium-Light,58/75,$16.30/12 ounces
https://www.coffeereview.com/review/makwa-kenya-nyeri/,Makwa Kenya Nyeri,94,"La Jolla, California","Nyeri growing region, south-central Kenya.",Medium-Light,57/71,$17.99/12 ounces
https://www.coffeereview.com/review/panama-los-lajones-bambu-geisha-natural/,Panama Los Lajones Bambu Geisha Natural,94,"Ramsey, Minnesota","Boquete growing region, western Panama",Medium-Light,58/75,$59.95/8 ounces
https://www.coffeereview.com/review/juliette-red-ninety-plus-gesha-estate-panama/,Juliette Red Ninety Plus Gesha Estate Panama,94,"Seoul, South Korea","Silla Del Pando, Volcan, Panama.",Medium-Light,53/72,"KRW 35,000/100 grams"
https://www.coffeereview.com/review/100-kona-high-mountain-io-extra-fancy/,100% Kona High Mountain Io Extra Fancy,94,"Holualoa, Hawaii","Holualoa, North Kona growing district, Hawaii.",Medium-Light,55/75,$35.95/8 ounces
https://www.coffeereview.com/review/sumatra-blue-batak-peaberry/,Sumatra Blue Batak Peaberry,94,"Sacramento, California","Lintong growing region, North Sumatra, Indonesia.",Medium,53/68,$16.50/12 ounces
https://www.coffeereview.com/review/panama-gesha-ninety-plus-perci-red/,Panama Gesha Ninety Plus Perci Red,95,"Yorktown Heights, New York","Silla Del Pando, Volcan, Panama.",Medium,52/68,$65.00/12 ounces
https://www.coffeereview.com/review/el-agulia-pacamara-el-salvador/,El Agulia Pacamara El Salvador,94,"Olympia, Washington","Santa Ana Region, El Salvador.",Light,63/82,$17.40/12 ounces
https://www.coffeereview.com/review/mexico-finca-kassandra-pacamara/,Mexico Finca Kassandra Pacamara,94,"Berlin, Massachusetts","Vera Cruz growing region, Mexico.",Medium-Light,55/68,$17.00/12 ounces
https://www.coffeereview.com/review/panama-finca-santa-teresa-honey-geisha/,Panama Finca Santa Teresa Honey Geisha,94,"I-Lan City, Taiwan","Volcan growing region, western Panama.",Medium,55/66,NT $2800/8 ounces
https://www.coffeereview.com/review/batista-natural-geisha/,Batista Natural Geisha,94,"Kaohsiung City, Taiwan","Volcan growing region, western Panama.",Light,65/84,NT $1900/8 ounces
https://www.coffeereview.com/review/perci-n2-ninety-plus-gesha-estates-panama/,Perci N2 Ninety Plus Gesha Estates Panama,94,"Seoul, Korea","Silla Del Pando, Volcan, Panama.",Medium-Light,58/71,"KRW 35,000/100 grams"
https://www.coffeereview.com/review/ethiopia-sidama-deri-kochoha/,Ethiopia Sidama Deri Kochoha,94,"Bedford, New Hampshire","Sidamo (also Sidama) growing region, southern Ethiopia.",Medium,52/66,$13.50/12 ounces
https://www.coffeereview.com/review/kenya-kirinyaga-karimikui-peaberry/,Kenya Kirinyaga Karimikui Peaberry,95,"Bedford, New Hampshire","Karimikui growing region, central Kenya.",Medium,52/66,$14.50/12 ounces
https://www.coffeereview.com/review/ethiopia-yirgacheffe-10/,Ethiopia Yirgacheffe,94,"Portland, Oregon","Yirgacheffe growing region, southern Ethiopia.",Light,59/84,$15.00/12 ounces
https://www.coffeereview.com/review/panama-auromar-estate-ironman-geisha/,Panama Auromar Estate “Ironman” Geisha,94,"Topeka, Kansas","Boquete growing region, western Panama",Medium-Light,56/82,$52.99/8 ounces
https://www.coffeereview.com/review/guatemala-acatenango-gesha/,Guatemala Acatenango Gesha,95,"Billings, Montana","Acatenango growing region, Guatemala.",Medium,50/65,$20.00/8 ounces
https://www.coffeereview.com/review/kenya-ruira-mchana-estate/,Kenya Ruira Mchana Estate,94,"Newport Beach, California","Ruiru growing region, central Kenya.",Medium,51/55,$15.50/12 ounces
https://www.coffeereview.com/review/honeyed-yellow-caturra/,Honeyed Yellow Caturra,94,"Mountain View, Hawaii","Puna District, ""Big Island"" of Hawaii",Medium,52/60,$20.00/6 ounces
https://www.coffeereview.com/review/hawaii-kau-isla/,Hawaii Ka’u Isla,94,"Ramsey, Minnesota","Ka'u growing district, Big Island of Hawaii",Medium-Light,57/75,$32.95/12 ounces
https://www.coffeereview.com/review/ethiopia-yirgacheffe-kochere-grade-1/,Ethiopia Yirgacheffe Kochere Grade 1,94,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,58/74,$15.50/12 ounces
https://www.coffeereview.com/review/colombia-valle-del-cauca-cerro-azul-geisha-aaa/,Colombia Valle del Cauca Cerro Azul Geisha AAA,96,"Seattle, Washington","Valle del Cauca growing region, Colombia.",Medium-Light,60/81,$59.75/8 ounces
https://www.coffeereview.com/review/nyala-kenya-peaberry/,Nyala Kenya Peaberry,94,"Madison, Wisconsin",Central Kenya.,Medium-Light,55/68,$14.99/12 ounces
https://www.coffeereview.com/review/ethiopia-kercha-naturally-processed-sidama/,Ethiopia Kercha Naturally Processed Sidama,94,"Calgary, Alberta, Canada","Sidama (also Sidamo) growing region, southern Ethiopia.",Light,64/81,CAD $17.78/12 ounces
https://www.coffeereview.com/review/kenya-aa-top-lot-a114/,Kenya AA Top Lot A114,94,"Taoyuan City, Taiwan",Central Kenya.,Medium,49/62,NT $1600/16 ounces
https://www.coffeereview.com/review/mchana-kenya-peaberry/,Mchana Kenya Peaberry,95,"Madison, Wisconsin",Central Kenya.,Medium,53/65,$15.99/12 ounces
